timestamp,temp_data
0,82.8
5,79.9
10,77.0
15,74.2
20,72.1
25,70.2
30,68.7
35,67.4
40,66.4
45,65.3
50,64.7
55,64.3
60,63.9
65,63.7
70,63.6
75,63.3
80,63.3
85,62.9
90,62.6
95,61.7
100,60.7
105,59.6
110,58.7
115,58.3
120,58.1
125,58.0
130,58.0
135,58.0
140,57.7
145,57.0
150,56.2
155,55.6
160,55.1
165,55.1
170,54.5
175,54.8
180,54.6
185,55.0
190,55.0
195,55.0
200,55.1
205,55.2
210,55.2
215,55.4
220,55.0
225,55.0
